,max2014,max2015,max2016,max2017,max2018,max2019
London,2.076683568,5.28977422,6.941489359,9.152272572,10.13630907,10.25484459
Paris,3.517324269,8.051781078,9.739303156,10.24253947,8.910643648,8.335601031
Rome,4.617098301,7.903091061,9.285018101,10.81940964,11.58033974,12.39905319
Barcelona,6.422714203,12.72570067,15.57016015,17.80425503,18.29982911,16.314447
Madrid,1.113525521,2.085791915,2.919624364,4.434931203,4.761037988,4.878686661
Lisbon,10.10212531,19.51027168,25.59638816,32.84965104,38.89239383,40.95855842
Berlin,2.735301972,5.903702648,5.166743001,6.86675919,6.783183594,5.609250878
Milan,6.084849727,10.11360143,10.85508498,12.62278763,14.56543062,15.97154109
Copenhagen,13.23466323,28.17102817,36.32561133,39.67896468,37.0995996,33.99113399
Amsterdam,7.042673145,16.28661136,21.00770042,23.10927259,20.54017509,18.16473392
Prague,2.789466,6.201559969,9.390403959,11.43982332,12.0701762,11.43441588
Edinburgh,4.398522841,9.206075351,15.52374214,21.73285129,27.41661901,28.23080129
Budapest,1.945438564,3.966888681,5.316236639,6.971345359,7.655449343,8.290974514
Florence,12.2693911,20.98711635,24.85378582,32.00436805,37.1914277,38.06556275
Nice,4.182545123,8.991059494,14.32889703,18.43263842,20.10833283,20.01466047
Athens,1.974260819,4.499688275,7.993422142,12.40576707,16.75938113,19.56340374
Vienna,1.751242114,3.691532343,4.500363946,5.819172648,6.634230387,7.113642821
Split,14.70324145,28.73866391,41.53385113,56.42228607,63.86369758,63.45402712
Venice,10.95204748,19.16416974,24.97694406,34.6164296,41.14862564,43.08494151
Marseille,2.529643031,5.572822616,9.955224983,11.49471583,12.5609475,12.55311579
Napoli,1.340379902,2.972641759,4.662865991,7.56201974,9.684891693,10.72096913
Kiev,0.7814762213,1.188588448,1.520896819,2.17413786,4.270024682,3.464073466
Munich,1.995825661,5.463452559,6.769049455,7.566418207,7.378236435,6.756687149
Porto,1.508712394,3.384096532,5.11659426,7.628663434,9.48198423,10.26365695
Warsaw,0.6661127252,1.423844761,2.247842336,3.478076478,4.371220703,5.353103129
Valencia,2.591567235,5.500288724,7.595275792,10.37637744,12.30078354,11.73091673
Brussels,2.361691326,5.321478699,5.983449081,6.459603216,6.836212932,7.240197363
Lyon,2.854763445,6.404607819,8.575456292,9.9256068,9.63901386,8.04879524
Krakow,1.407058657,3.150131321,5.704362801,8.442351941,10.04498125,11.02545962
Dublin,3.134110081,9.055602367,13.7858229,17.27247194,18.16350447,16.02890045
Malaga,2.458732177,5.467351749,7.551319905,11.81382284,14.00986995,14.41265371
Seville,2.944631348,5.735351984,7.349962466,10.50948801,11.51281161,11.87145261
Marbella,0.8270713897,2.08535094,25.48369538,44.44271647,53.59705365,55.39257615
Palermo,2.407223166,4.584047097,6.129517284,8.189645499,9.968507118,11.11900719
Cologne,1.541104449,3.9096848,5.233276009,6.709589279,7.502818416,6.376377507
Odessa,1.062453579,1.995051721,2.945357422,4.157341505,4.827277512,6.401282814
Bordeaux,0,3.786688406,9.577179057,12.70734219,12.7042307,9.807429626
Montpellier,3.975138764,10.34001396,16.34260644,20.72988334,22.04274271,20.36760062
Oslo,2.304612751,6.80806326,9.335444559,11.28587135,10.62397631,9.522954776
Belgrade,0,0.1248180412,2.822995049,3.718605021,4.492638978,4.613404485
Toulouse,1.785987651,4.610646462,7.292097046,9.303596502,9.902766552,9.076438625
Gdansk,0.8125870822,1.807193671,3.969758759,6.537533939,8.955793096,11.75542646
Bucharest,0.3397411773,0.7916344835,1.228511605,1.8014729,2.035162273,2.513333903
Manchester,0.9660350846,2.735269795,4.553904026,6.526225657,7.997233627,9.554233356
Bologna,2.818160566,5.844407737,7.945825551,10.17569189,11.73762591,13.34323243
Turin,1.53537075,3.093403798,3.751743581,4.763615226,5.514870434,5.837808193
Siracusa,0,0.6331976481,20.41034497,29.250442,36.96394063,42.2597755
Hamburg,1.322528767,3.073336159,3.763826189,4.997858607,4.807209066,3.155277223
Alicante,0,0.1930170066,6.870199079,10.86927018,15.14580324,14.66627661
Hannover,0,0.1277803981,6.067689787,7.976879264,9.777079579,9.696277268
Brighton and Hove,0,0.2212427621,9.150462363,12.31354248,15.18278455,16.15763547
Zurich,1.677006897,4.120870469,5.309734513,6.748968601,6.791484269,6.78833496
Avignon,0,9.887750832,21.36736587,30.11807084,35.66685466,37.87727182
Zagreb,1.389218816,2.49611653,3.81568785,4.790752802,5.151427338,5.126553232
Catania,0,0.2374687119,5.801938258,8.30819588,11.03587703,12.68532187
Aix-en-Provence,6.545179923,12.74072417,18.53069102,27.22962673,28.69110387,27.56527698
Liege,0,0.06775950588,3.393187564,6.309452451,8.013864637,10.15610748
Stockholm,1.773077648,3.547208192,4.950719181,5.140240545,4.671701618,4.052598496
Reykjavik,8.059444224,19.06935936,26.60858898,32.30765647,33.3170281,30.04821691
Glasgow,1.029316274,2.097111662,2.975718076,4.197429916,5.489686796,5.914560336
Verona,0,0.1399280925,7.742687785,10.58011855,12.70236129,14.29987368
Helsinki,1.299605766,2.950540362,4.108681864,5.674116082,6.337909935,5.629034063
Granada,0,0.3574381589,11.35619789,17.0579825,17.36804934,15.05546751
Strasbourg,2.389226222,6.029951894,7.593089547,9.564324846,10.07630189,8.518110879
Lviv,0,0.0494527232,3.248769177,3.670491011,4.413655545,4.592234824
Sofia,0.3464040994,0.7541758247,1.192631363,2.08892169,2.39575982,2.679988825
Dusseldorf,1.330028512,2.998639191,4.526308968,5.705676516,5.768856921,5.337934163
Cork,0,0.2948287045,11.6752167,19.87987836,26.14709425,27.60439042
Braga,0.1923933179,0.7255976561,6.964638108,10.99390388,14.06120306,17.95304504
Constanta,0,0.02236271688,1.964724411,5.085920753,7.644854499,10.43061009
Las Palmas de Gran Canaria,0,0.03170267121,4.478002309,7.698465327,8.203066177,8.601991456
Tallinn,1.176866564,2.48604357,3.776650689,5.25527791,6.836039507,7.553301378
Nantes,1.28340665,3.31714703,5.10450917,6.508865137,7.22112223,7.259198868
Riga,0.8917292116,1.747093579,2.414309408,3.249119734,3.862578837,4.910834984
Lille,0.004419650207,1.5932839,3.756702676,3.63737212,3.785430402,3.409760135
Geneva,2.426804869,6.026565424,7.490737695,8.669086281,8.261922353,7.94643772
Minsk,0.4672088162,0.8626551613,0.9439525063,1.16476011,1.263119861,1.465861388
Sarajevo,1.002194198,2.520670255,3.77847459,5.360220483,6.962212723,7.346893325
Vilnius,1.207341219,2.328835181,3.379094184,4.24487291,4.544425043,5.240335791
Liverpool,0,0.04663592751,2.060091406,3.252349031,4.535850862,5.76460617
Cardiff,0,0.1403018415,3.636843814,11.87613823,8.275057634,7.920176505
Leipzig,0,0.05670297948,3.591188701,4.833499433,5.57407471,5.288841541
Palma,0,0.214811759,9.678734368,10.61365373,7.520852607,6.798303964
Utrecht,2.110986368,4.048390303,6.176174971,7.825208089,7.727218006,7.682422539
Gothenburg,0.7446293607,1.950219754,3.755059491,4.320623219,4.889732802,4.841863772
Birmingham,0,0.0210665096,0.7952607376,1.243801838,1.734475957,2.368226788
Wroclaw,0,0.02182021081,1.9607018,2.987810295,3.790482336,4.15675016
Thessaloniki,0,0.06027995279,3.267807967,5.161867536,7.052754477,8.416984987
Bristol,0,0.08887366717,3.123584253,4.493539318,5.724764756,5.722597105
Genoa,0.9231958441,1.876771076,2.351027076,3.053128486,3.868308729,4.364505398
Ljubljana,0,0.1419082857,4.703740495,7.206171972,7.361924969,8.576798341
Annecy,1.843077386,4.698660803,9.05718286,12.88572129,16.81709237,19.03194931
Frankfurt,0.8903729926,2.519822515,3.138397436,3.935046955,3.600320266,3.191953706
Cagliari,0,0.3958314407,9.207947776,10.86914202,13.74378674,15.39849195
Varna,0,0.04763974822,2.316482757,3.826067279,5.23739482,6.934560851
Antwerp,0.7754143979,1.96718431,2.530601175,3.166593773,3.718551312,4.360273572
Bruges,1.830821929,4.252231578,9.736260399,13.44008909,15.53245701,18.87349611
Cluj-Napoca,0,0.01538650911,2.172575086,4.332840965,5.920728705,6.825455441
Aarhus,1.18460391,2.663791861,6.023303478,7.856619053,7.894225526,6.913323347
Coimbra,0,0.3140797463,8.248332386,12.61553648,15.28521432,16.20501929
The Hague,1.088540768,2.188095439,3.008631229,3.630916761,4.029252927,3.898921739
Donostia/San Sebastian,3.466102376,6.573272976,13.08761685,15.02691988,13.33404763,11.32510112
Namur,0.03592792858,0.2784414465,5.532901001,11.09274795,14.69452279,18.33222556
Rouen,0,1.116172531,1.979993012,2.850284058,3.299988353,8.482911237
Bratislava,0,0.05082427737,2.0722444,2.707547867,3.56000961,5.091668515
Cordoba,0,0.1535117344,3.561472239,5.240890614,5.959325531,6.146609847
Oxford,0,0.1359619307,7.562073096,9.756887119,11.83516235,12.81926775
Belfast,0,0.03921091136,1.543671668,2.680788098,3.576447863,4.069679853
Rennes,0,0.07860617382,4.919821703,6.968206115,8.64667912,9.025838312
Brasov,0,0.08985346973,2.426043683,3.925905447,5.163118607,6.573126901
Nurnberg,0,0.04464277049,2.573752768,3.534542829,4.068315085,3.782989552
York,0,0.08132881719,3.27228888,5.535143617,7.482251182,9.003578468
Rotterdam,0.6792569973,1.653575858,2.274435195,2.790793455,2.815381944,2.875316385
Toulon,0,1.128288842,2.556654504,3.988020933,4.972272902,5.611436528
Dresden,0,0.0526247024,2.074139132,2.83447535,3.186516462,3.346205215
Skopje,0,0.09468837661,1.55644019,3.757944947,3.355519346,3.633666452
Novi Sad,0,0.06485972283,2.590785595,4.637470183,5.866201598,6.608485093
Bari,0.6648730556,1.490552618,2.09666945,3.104802548,4.428363794,5.513807713
Nimes,0,3.450308276,6.589360335,9.91384163,10.70191588,11.70853173
Cartagena,0.004674142178,0.05608970614,3.169068397,5.552880908,7.025235694,8.212467807
Bergen,1.097219631,2.735584997,5.560738944,10.97966038,7.240156746,6.545997388
Cambridge,0,0.175523979,7.17254805,9.462338139,12.94090427,13.83448089
Cadiz,0,0.1367766864,8.215149728,11.6174698,14.06235307,14.71204233
Rijeka,0,0.03887299415,3.700709043,7.494713273,11.38201269,13.2867894
Lubeck,0,0.03698259045,1.659593746,4.054216478,5.778529757,7.826440703
Zwolle,0,0.1921583385,4.65183311,8.751210998,10.95302529,13.40304411
Aalborg,0.550509221,1.391018835,2.551020408,4.055090244,6.881365263,8.124926271
Poznan,0,0.02199091042,1.062894004,1.61449934,2.219249377,3.020085032
Perugia,0,0.2474605119,5.86662482,7.96702136,9.487998165,9.940669833
Rimini,0,0.06023975422,5.327871596,7.081517774,9.819079938,10.70928964
Basel,0.031326358,1.13401416,6.616126809,6.769625963,6.48142347,5.826702588
Leeds,0.00127061574,0.02160046759,0.9364438007,1.307463597,1.569210439,1.983431171
Vila Nova de Gaia,0.6534683835,1.573658556,2.423834259,3.864131921,4.917682988,5.184404777
Gdynia,0.4398353644,1.137922686,2.513921395,3.829392301,5.060124284,6.202082156
Stuttgart,0,0.02054546633,1.6894695,2.252099194,2.364309048,2.416462924
Le Mans,0,1.808053816,5.198154722,7.830468366,10.46942927,11.65264096
Bayonne,1.31545484,3.499109876,7.243771321,10.07638408,12.04956634,13.2159363
Swansea,0,0.06098230294,1.345676151,2.512470881,4.594000154,5.992527635
Tirana,0,0.03229151343,0.8359914033,1.361625483,2.041541238,2.610230669
Salerno,0,0.1642158692,5.993879227,7.912219154,9.73352243,10.83824737
Dijon,0,2.016538665,4.195619489,6.044536552,7.00455118,7.344873827
Grenoble,0,1.767928205,3.003506281,3.969623182,4.804295605,4.728715032
Trieste,0,0.07830163748,3.641026143,5.109181846,5.725807241,6.900331803
Perpignan,0,2.148888349,5.824018953,8.124772203,9.521929292,10.69128903
Groningen,0,0.1891412985,4.763374281,5.833515838,6.565194019,6.923567006
