date;count;death_count;revoked_count;waived_count;emigrated_count;other_count
2005-01-01;7219;;;;;
2006-01-01;7133;;;;;
2007-01-01;5280;158;0;29;1;1
2008-01-01;5370;329;0;12;1;0
2009-01-01;5186;312;0;14;0;0
2010-01-01;4434;133;0;38;2;0
2011-01-01;3510;1620;0;44;0;0
2012-01-01;3655;64;0;37;68;1
2013-01-01;3480;1394;0;73;172;1
2014-01-01;4202;671;2;327;246;0
2015-01-01;4480;745;1;70;246;5
2016-01-01;4779;850;0;43;277;0
2017-01-01;5033;777;2;29;252;0
2018-01-01;5487;1021;0;16;183;8
2019-01-01;;994;0;19;172;0
