age;death_prop;death_prop_100k
0;0.00353;353
1;0.00020;20
2;0.00016;16
3;0.00012;12
4;0.00010;10
5;0.00008;8
6;0.00008;8
7;0.00007;7
8;0.00007;7
9;0.00008;8
10;0.00009;9
11;0.00011;11
12;0.00013;13
13;0.00014;14
14;0.00015;15
15;0.00017;17
16;0.00020;20
17;0.00023;23
18;0.00027;27
19;0.00028;28
20;0.00028;28
21;0.00027;27
22;0.00025;25
23;0.00024;24
24;0.00023;23
25;0.00025;25
26;0.00026;26
27;0.00028;28
28;0.00029;29
29;0.00031;31
30;0.00033;33
31;0.00035;35
32;0.00038;38
33;0.00042;42
34;0.00046;46
35;0.00051;51
36;0.00056;56
37;0.00062;62
38;0.00068;68
39;0.00075;75
40;0.00082;82
41;0.00090;90
42;0.00100;100
43;0.00112;112
44;0.00127;127
45;0.00143;143
46;0.00160;160
47;0.00178;178
48;0.00197;197
49;0.00218;218
50;0.00240;240
51;0.00264;264
52;0.00292;292
53;0.00323;323
54;0.00360;360
55;0.00405;405
56;0.00456;456
57;0.00514;514
58;0.00576;576
59;0.00639;639
60;0.00702;702
61;0.00765;765
62;0.00827;827
63;0.00893;893
64;0.00965;965
65;0.01049;1049
66;0.01143;1143
67;0.01248;1248
68;0.01365;1365
69;0.01492;1492
70;0.01628;1628
71;0.01776;1776
72;0.01938;1938
73;0.02115;2115
74;0.02312;2312
75;0.02532;2532
76;0.02782;2782
77;0.03071;3071
78;0.03419;3419
79;0.03849;3849
80;0.04380;4380
81;0.05021;5021
82;0.05770;5770
83;0.06595;6595
84;0.07460;7460
85;0.08343;8343
86;0.09236;9236
87;0.10162;10162
88;0.11151;11151
89;0.12234;12234
90;0.13427;13427
91;0.14748;14748
92;0.16158;16158
93;0.17659;17659
94;0.19251;19251
95;0.20934;20934
96;0.22707;22707
97;0.24568;24568
98;0.26516;26516
99;0.28547;28547
100;0.30658;30658
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
